category,support,tp,fp,fn,precision,recall,f1
C1,295,229,0,66,1.0,0.7762711864406779,0.8740458015267175
C10,7,4,0,3,1.0,0.5714285714285714,0.7272727272727273
C11,14,12,0,2,1.0,0.8571428571428571,0.923076923076923
C2,245,127,0,118,1.0,0.5183673469387755,0.6827956989247311
C3,35,10,0,25,1.0,0.2857142857142857,0.4444444444444445
C4,5,1,0,4,1.0,0.2,0.33333333333333337
C5,115,85,0,30,1.0,0.7391304347826086,0.85
C6,68,52,0,16,1.0,0.7647058823529411,0.8666666666666666
C7,248,174,0,74,1.0,0.7016129032258065,0.8246445497630333
C8,68,48,0,20,1.0,0.7058823529411765,0.8275862068965517
C9,771,534,0,237,1.0,0.6926070038910506,0.8183908045977011
