category,support,tp,fp,fn,precision,recall,f1
C1,295,219,0,76,1.0,0.7423728813559322,0.8521400778210116
C10,7,4,0,3,1.0,0.5714285714285714,0.7272727272727273
C11,14,13,0,1,1.0,0.9285714285714286,0.962962962962963
C2,245,78,0,167,1.0,0.3183673469387755,0.4829721362229102
C3,35,4,0,31,1.0,0.11428571428571428,0.20512820512820512
C4,5,1,0,4,1.0,0.2,0.33333333333333337
C5,115,63,0,52,1.0,0.5478260869565217,0.7078651685393258
C6,68,35,0,33,1.0,0.5147058823529411,0.6796116504854368
C7,248,120,0,128,1.0,0.4838709677419355,0.6521739130434783
C8,68,26,0,42,1.0,0.38235294117647056,0.5531914893617021
C9,771,375,0,396,1.0,0.48638132295719844,0.6544502617801047
