model,category,support,tp,fp,fn,precision,recall,f1
Gemma-2-2B,C1,266,172,0,94,1.0,0.6466165413533834,0.7853881278538813
Gemma-2-2B,C10,7,0,0,7,0.0,0.0,0.0
Gemma-2-2B,C11,12,10,0,2,1.0,0.8333333333333334,0.9090909090909091
Gemma-2-2B,C2,229,115,0,114,1.0,0.5021834061135371,0.6686046511627907
Gemma-2-2B,C3,31,7,0,24,1.0,0.22580645161290322,0.3684210526315789
Gemma-2-2B,C4,4,0,0,4,0.0,0.0,0.0
Gemma-2-2B,C5,109,63,0,46,1.0,0.5779816513761468,0.7325581395348838
Gemma-2-2B,C6,63,39,0,24,1.0,0.6190476190476191,0.7647058823529412
Gemma-2-2B,C7,229,155,0,74,1.0,0.6768558951965066,0.8072916666666667
Gemma-2-2B,C8,65,37,0,28,1.0,0.5692307692307692,0.7254901960784313
Gemma-2-2B,C9,723,487,0,236,1.0,0.673582295988935,0.8049586776859504
Gemma-2-9B,C1,266,127,0,139,1.0,0.4774436090225564,0.6463104325699746
Gemma-2-9B,C10,7,0,0,7,0.0,0.0,0.0
Gemma-2-9B,C11,12,6,0,6,1.0,0.5,0.6666666666666666
Gemma-2-9B,C2,229,93,0,136,1.0,0.40611353711790393,0.577639751552795
Gemma-2-9B,C3,31,3,0,28,1.0,0.0967741935483871,0.17647058823529413
Gemma-2-9B,C4,4,1,0,3,1.0,0.25,0.4
Gemma-2-9B,C5,109,63,0,46,1.0,0.5779816513761468,0.7325581395348838
Gemma-2-9B,C6,63,28,0,35,1.0,0.4444444444444444,0.6153846153846153
Gemma-2-9B,C7,229,118,0,111,1.0,0.5152838427947598,0.6801152737752161
Gemma-2-9B,C8,65,28,0,37,1.0,0.4307692307692308,0.6021505376344086
Gemma-2-9B,C9,723,491,0,232,1.0,0.6791147994467497,0.8088962108731467
Gemma-2-27B,C1,266,239,0,27,1.0,0.8984962406015038,0.9465346534653466
Gemma-2-27B,C10,7,1,0,6,1.0,0.14285714285714285,0.25
Gemma-2-27B,C11,12,11,0,1,1.0,0.9166666666666666,0.9565217391304348
Gemma-2-27B,C2,229,166,0,63,1.0,0.7248908296943232,0.840506329113924
Gemma-2-27B,C3,31,16,0,15,1.0,0.5161290322580645,0.6808510638297872
Gemma-2-27B,C4,4,1,0,3,1.0,0.25,0.4
Gemma-2-27B,C5,109,84,0,25,1.0,0.7706422018348624,0.8704663212435233
Gemma-2-27B,C6,63,49,0,14,1.0,0.7777777777777778,0.8750000000000001
Gemma-2-27B,C7,229,179,0,50,1.0,0.7816593886462883,0.8774509803921569
Gemma-2-27B,C8,65,49,0,16,1.0,0.7538461538461538,0.8596491228070176
Gemma-2-27B,C9,723,648,0,75,1.0,0.8962655601659751,0.9452954048140044
Llama-3.2-3B,C1,266,208,0,58,1.0,0.7819548872180451,0.8776371308016877
Llama-3.2-3B,C10,7,4,0,3,1.0,0.5714285714285714,0.7272727272727273
Llama-3.2-3B,C11,12,10,0,2,1.0,0.8333333333333334,0.9090909090909091
Llama-3.2-3B,C2,229,117,0,112,1.0,0.5109170305676856,0.676300578034682
Llama-3.2-3B,C3,31,8,0,23,1.0,0.25806451612903225,0.41025641025641024
Llama-3.2-3B,C4,4,1,0,3,1.0,0.25,0.4
Llama-3.2-3B,C5,109,79,0,30,1.0,0.7247706422018348,0.8404255319148937
Llama-3.2-3B,C6,63,48,0,15,1.0,0.7619047619047619,0.8648648648648648
Llama-3.2-3B,C7,229,162,0,67,1.0,0.7074235807860262,0.8286445012787723
Llama-3.2-3B,C8,65,45,0,20,1.0,0.6923076923076923,0.8181818181818181
Llama-3.2-3B,C9,723,499,0,224,1.0,0.690179806362379,0.8166939443535188
Qwen2.5-3B,C1,266,199,0,67,1.0,0.7481203007518797,0.8559139784946237
Qwen2.5-3B,C10,7,4,0,3,1.0,0.5714285714285714,0.7272727272727273
Qwen2.5-3B,C11,12,11,0,1,1.0,0.9166666666666666,0.9565217391304348
Qwen2.5-3B,C2,229,72,0,157,1.0,0.314410480349345,0.4784053156146179
Qwen2.5-3B,C3,31,3,0,28,1.0,0.0967741935483871,0.17647058823529413
Qwen2.5-3B,C4,4,1,0,3,1.0,0.25,0.4
Qwen2.5-3B,C5,109,60,0,49,1.0,0.5504587155963303,0.7100591715976332
Qwen2.5-3B,C6,63,32,0,31,1.0,0.5079365079365079,0.6736842105263158
Qwen2.5-3B,C7,229,113,0,116,1.0,0.49344978165938863,0.6608187134502924
Qwen2.5-3B,C8,65,23,0,42,1.0,0.35384615384615387,0.5227272727272727
Qwen2.5-3B,C9,723,351,0,372,1.0,0.4854771784232365,0.653631284916201
