model,category,support,tp,fp,fn,precision,recall,f1
Gemma-2-2B,C1,295,194,0,101,1.0,0.6576271186440678,0.7934560327198364
Gemma-2-2B,C10,7,0,0,7,0.0,0.0,0.0
Gemma-2-2B,C11,14,12,0,2,1.0,0.8571428571428571,0.923076923076923
Gemma-2-2B,C2,245,128,0,117,1.0,0.5224489795918368,0.6863270777479893
Gemma-2-2B,C3,35,8,0,27,1.0,0.22857142857142856,0.3720930232558139
Gemma-2-2B,C4,5,0,0,5,0.0,0.0,0.0
Gemma-2-2B,C5,115,65,0,50,1.0,0.5652173913043478,0.7222222222222222
Gemma-2-2B,C6,68,43,0,25,1.0,0.6323529411764706,0.7747747747747747
Gemma-2-2B,C7,248,165,0,83,1.0,0.6653225806451613,0.7990314769975787
Gemma-2-2B,C8,68,40,0,28,1.0,0.5882352941176471,0.7407407407407407
Gemma-2-2B,C9,771,516,0,255,1.0,0.669260700389105,0.8018648018648019
Gemma-2-9B,C1,295,140,0,155,1.0,0.4745762711864407,0.6436781609195402
Gemma-2-9B,C10,7,0,0,7,0.0,0.0,0.0
Gemma-2-9B,C11,14,7,0,7,1.0,0.5,0.6666666666666666
Gemma-2-9B,C2,245,101,0,144,1.0,0.4122448979591837,0.5838150289017341
Gemma-2-9B,C3,35,3,0,32,1.0,0.08571428571428572,0.15789473684210528
Gemma-2-9B,C4,5,1,0,4,1.0,0.2,0.33333333333333337
Gemma-2-9B,C5,115,66,0,49,1.0,0.5739130434782609,0.7292817679558011
Gemma-2-9B,C6,68,32,0,36,1.0,0.47058823529411764,0.6399999999999999
Gemma-2-9B,C7,248,125,0,123,1.0,0.5040322580645161,0.6702412868632708
Gemma-2-9B,C8,68,31,0,37,1.0,0.45588235294117646,0.6262626262626263
Gemma-2-9B,C9,771,522,0,249,1.0,0.6770428015564203,0.8074245939675174
Gemma-2-27B,C1,266,239,0,27,1.0,0.8984962406015038,0.9465346534653466
Gemma-2-27B,C10,7,1,0,6,1.0,0.14285714285714285,0.25
Gemma-2-27B,C11,12,11,0,1,1.0,0.9166666666666666,0.9565217391304348
Gemma-2-27B,C2,229,166,0,63,1.0,0.7248908296943232,0.840506329113924
Gemma-2-27B,C3,31,16,0,15,1.0,0.5161290322580645,0.6808510638297872
Gemma-2-27B,C4,4,1,0,3,1.0,0.25,0.4
Gemma-2-27B,C5,109,84,0,25,1.0,0.7706422018348624,0.8704663212435233
Gemma-2-27B,C6,63,49,0,14,1.0,0.7777777777777778,0.8750000000000001
Gemma-2-27B,C7,229,179,0,50,1.0,0.7816593886462883,0.8774509803921569
Gemma-2-27B,C8,65,49,0,16,1.0,0.7538461538461538,0.8596491228070176
Gemma-2-27B,C9,723,648,0,75,1.0,0.8962655601659751,0.9452954048140044
Llama-3.2-3B,C1,295,229,0,66,1.0,0.7762711864406779,0.8740458015267175
Llama-3.2-3B,C10,7,4,0,3,1.0,0.5714285714285714,0.7272727272727273
Llama-3.2-3B,C11,14,12,0,2,1.0,0.8571428571428571,0.923076923076923
Llama-3.2-3B,C2,245,127,0,118,1.0,0.5183673469387755,0.6827956989247311
Llama-3.2-3B,C3,35,10,0,25,1.0,0.2857142857142857,0.4444444444444445
Llama-3.2-3B,C4,5,1,0,4,1.0,0.2,0.33333333333333337
Llama-3.2-3B,C5,115,85,0,30,1.0,0.7391304347826086,0.85
Llama-3.2-3B,C6,68,52,0,16,1.0,0.7647058823529411,0.8666666666666666
Llama-3.2-3B,C7,248,174,0,74,1.0,0.7016129032258065,0.8246445497630333
Llama-3.2-3B,C8,68,48,0,20,1.0,0.7058823529411765,0.8275862068965517
Llama-3.2-3B,C9,771,534,0,237,1.0,0.6926070038910506,0.8183908045977011
Qwen2.5-3B,C1,295,219,0,76,1.0,0.7423728813559322,0.8521400778210116
Qwen2.5-3B,C10,7,4,0,3,1.0,0.5714285714285714,0.7272727272727273
Qwen2.5-3B,C11,14,13,0,1,1.0,0.9285714285714286,0.962962962962963
Qwen2.5-3B,C2,245,78,0,167,1.0,0.3183673469387755,0.4829721362229102
Qwen2.5-3B,C3,35,4,0,31,1.0,0.11428571428571428,0.20512820512820512
Qwen2.5-3B,C4,5,1,0,4,1.0,0.2,0.33333333333333337
Qwen2.5-3B,C5,115,63,0,52,1.0,0.5478260869565217,0.7078651685393258
Qwen2.5-3B,C6,68,35,0,33,1.0,0.5147058823529411,0.6796116504854368
Qwen2.5-3B,C7,248,120,0,128,1.0,0.4838709677419355,0.6521739130434783
Qwen2.5-3B,C8,68,26,0,42,1.0,0.38235294117647056,0.5531914893617021
Qwen2.5-3B,C9,771,375,0,396,1.0,0.48638132295719844,0.6544502617801047
