category,support,tp,fp,fn,precision,recall,f1
C1,266,239,0,27,1.0,0.8984962406015038,0.9465346534653466
C10,7,1,0,6,1.0,0.14285714285714285,0.25
C11,12,11,0,1,1.0,0.9166666666666666,0.9565217391304348
C2,229,166,0,63,1.0,0.7248908296943232,0.840506329113924
C3,31,16,0,15,1.0,0.5161290322580645,0.6808510638297872
C4,4,1,0,3,1.0,0.25,0.4
C5,109,84,0,25,1.0,0.7706422018348624,0.8704663212435233
C6,63,49,0,14,1.0,0.7777777777777778,0.8750000000000001
C7,229,179,0,50,1.0,0.7816593886462883,0.8774509803921569
C8,65,49,0,16,1.0,0.7538461538461538,0.8596491228070176
C9,723,648,0,75,1.0,0.8962655601659751,0.9452954048140044
